DATA ZAWARCIA TRANSAKCJI;MIASTO;DZIELNICA;ULICA;RODZAJ RYNKU;CENA NABYCIA;POWIERZCHNIA MIESZKANIA;CENA ZA 1 MKW;POŁOŻENIE NA KONDYGNACJI;OBECNOŚĆ MIEJSCA PARKINGOWEGO;STANDARD;ROK BUDOWY
2016-10-17;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;717593;118,92;7019;1;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-17;Gdynia; Pogórze;Żelazna;RYNEK WTÓRNY;195000;62,25;4286;4;BRAK MP;NISKI;lata 80-te XX-go wieku
2016-10-17;Gdynia; Redłowo;Korczaka;RYNEK WTÓRNY;580000;80,91;8240;2;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2016-10-17;Sopot; Sopot;Mickiewicza;RYNEK WTÓRNY;550000;67,05;9331;3;BRAK MP;DOBRY;lata 60-70-te XX-go wieku
2016-10-17;Sopot; Sopot;Sobieskiego;RYNEK WTÓRNY;900000;115,98;8750;3;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-10-17;Sopot; Sopot;Krasickiego;RYNEK WTÓRNY;560000;76,6;8398;2;BRAK MP;DOBRY;lata 40-50 te XX-go wieku
2016-10-17;Gdynia; Śródmieście z Portem;Mściwoja;RYNEK WTÓRNY;555000;88,75;7301;5;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2018-04-11;Gdynia; Orłowo;Al. Zwycięstwa;RYNEK WTÓRNY;240000;48,75;6174;3;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-17;Gdynia; Cisowa;Chylońska;RYNEK WTÓRNY;295000;63,77;5771;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-17;Gdynia; Pustki Cisowskie;Chabrowa;RYNEK WTÓRNY;399000;84,17;5802;5;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-17;Gdynia; Dąbrowa;Miętowa;RYNEK WTÓRNY;523000;130,15;4987;2;MIEJSCE NAZIEMNE;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-17;Gdynia; Dąbrowa;Kameliowa;RYNEK WTÓRNY;255000;67,69;4892;5;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-17;Gdynia; Działki Leśne;Warszawska;RYNEK WTÓRNY;285000;56,55;6229;5;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2016-10-17;Gdynia; Kamienna Góra;Bema;RYNEK WTÓRNY;515000;93,95;6516;3;BRAK MP;PRZECIĘTNY;lata 30-40 te XX-go wieku
2016-10-17;Gdynia; Leszczynki;Gen. Orlicz - Dreszera;RYNEK WTÓRNY;360000;76,45;5797;2;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2016-10-17;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;776932;150,15;6121;1;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-17;Gdynia; Oksywie;Gen. Wittekówny;RYNEK WTÓRNY;495000;63,98;8881;9;BRAK MP;DOBRY;2010
2016-10-17;Gdynia; Pustki Cisowskie;Borowikowa;RYNEK WTÓRNY;330000;70,64;5783;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-17;Gdynia; Pustki Cisowskie;Rydzowa;RYNEK WTÓRNY;294000;63,76;5756;5;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-17;Gdynia; Pustki Cisowskie;Bzowa;RYNEK WTÓRNY;273000;63,76;5427;1;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-17;Gdynia; Wielki Kack;Zielona Laguna;RYNEK PIERWOTNY;482983;151,73;4128;1;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-17;Sopot; Sopot;Wybickiego;RYNEK WTÓRNY;575759;91,32;7346;4;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-10-17;Sopot; Sopot;Kolberga;RYNEK WTÓRNY;425000;69,55;7227;2;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2016-10-17;Gdynia; Śródmieście z Portem;Hryniewickiego;RYNEK WTÓRNY;3000000;150,75;20846;3;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;WYSOKI;2015
2016-10-18;Gdynia; Wielki Kack;Myśliwska;RYNEK WTÓRNY;440000;94,08;5711;5;GARAŻ JEDNOSTANOWISKOWY;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-19;Sopot; Sopot;23 Marca;RYNEK WTÓRNY;850000;93,97;10080;1;BRAK MP;BARDZO DOBRY;2010
2016-10-20;Gdynia; Oksywie;Gen. Karpińskiego;RYNEK PIERWOTNY;481433;91,14;6324;5;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-21;Sopot; Sopot;Kościuszki;RYNEK WTÓRNY;650000;141,75;5541;2;BRAK MP;PRZECIĘTNY;lata 40-50 te XX-go wieku
2016-10-22;Gdynia; Wielki Kack;Starodworcowa;RYNEK WTÓRNY;760000;126,81;6967;1;GARAŻ JEDNOSTANOWISKOWY;DOBRY;lata 90-te XX-go wieku
2016-10-23;Gdynia; Śródmieście z Portem;Abrahama;RYNEK PIERWOTNY;1266425;111,37;12369;6;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2018-01-26;Gdynia; Kamienna Góra;I Armii Wojska Polskiego;RYNEK WTÓRNY;470000;37,88;13788;3;BRAK MP;BARDZO DOBRY;lata 80-te XX-go wieku
2016-10-25;Sopot; Sopot;Winieckigo;RYNEK WTÓRNY;750000;69,7;11876;1;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-10-25;Gdynia; Pustki Cisowskie;Borowikowa;RYNEK WTÓRNY;295000;63,76;5772;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-26;Sopot; Sopot;Chopina;RYNEK WTÓRNY;1537500;132,04;12611;1;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-10-26;Sopot; Sopot;Żeromskiego;RYNEK WTÓRNY;1400000;127,65;11940;2;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-10-26;Gdynia; Wzgórze Św. Maksymiliana;Gen. Hallera;RYNEK PIERWOTNY;787037;84,47;10378;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-26;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;575000;90,85;7371;3;BRAK MP;DOBRY;2010
2016-10-26;Gdynia; Obłuże;Płk. Dąbka;RYNEK WTÓRNY;288500;77,65;4799;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-26;Gdynia; Pogórze;Porębskiego;RYNEK WTÓRNY;300000;70,71;5354;5;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-27;Sopot; Sopot;Żeromskiego;RYNEK WTÓRNY;1050000;131,11;8976;4;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-10-27;Sopot; Sopot;Kazimierza Wielkiego;RYNEK WTÓRNY;856500;112,15;8633;1;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-10-27;Gdynia; Dąbrowa;Sojowa;RYNEK WTÓRNY;550100;98,85;6588;1;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-10-27;Gdynia; Oksywie;Gen. Karpińskiego;RYNEK WTÓRNY;500000;91,16;6526;7;BRAK MP;PRZECIĘTNY;2010
2016-10-27;Gdynia; Wielki Kack;Zielona Laguna;RYNEK PIERWOTNY;374661;85,68;5430;1;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-28;Gdynia; Mały Kack;Łowicka;RYNEK PIERWOTNY;378018;63,78;7072;1;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-10-28;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;630000;90,3;8020;9;BRAK MP;DOBRY;2010
2016-10-28;Gdynia; Karwiny;Staffa;RYNEK WTÓRNY;368000;72,33;6192;9;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2016-10-28;Gdynia; Karwiny;Tatarczana;RYNEK WTÓRNY;307300;56,85;6592;6;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2016-10-28;Gdynia; Pogórze;Gen. Kleeberga;RYNEK WTÓRNY;280000;60,95;5755;5;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-10-28;Gdynia; Redłowo;Kisielewskiego;RYNEK WTÓRNY;380000;87,95;5371;2;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2016-10-31;Gdynia; Mały Kack;Łowicka;RYNEK PIERWOTNY;499074;91,56;6491;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;lata 30-40 te XX-go wieku
2016-10-31;Gdynia; Śródmieście z Portem;Mściwoja;RYNEK WTÓRNY;393000;56,35;8165;4;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2017-02-09;Gdynia; Wzgórze Św. Maksymiliana;Wyspiańskiego;RYNEK WTÓRNY;1150000;97,42;12830;1;BRAK MP;BARDZO DOBRY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Działki Leśne;Bydgoska;RYNEK WTÓRNY;1160000;101,3;12468;2;MIEJSCE NAZIEMNE;BARDZO DOBRY;2010
2016-11-08;Gdynia; Kamienna Góra;Mariacka;RYNEK PIERWOTNY;1602584;147,09;11845;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Kamienna Góra;Mariacka;RYNEK WTÓRNY;745000;74,95;11033;3;BRAK MP;BARDZO DOBRY;lata 30-40 te XX-go wieku
2016-11-08;Gdynia; Redłowo;Korczaka;RYNEK WTÓRNY;845000;96,75;9761;5;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2010
2016-11-08;Gdynia; Redłowo;Legionów;RYNEK WTÓRNY;880000;101,36;9699;9;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2010
2016-11-08;Sopot; Sopot;Ogrodowa;RYNEK WTÓRNY;2335000;145,2;17033;4;BRAK MP;WYSOKI;lata 60-70-te XX-go wieku
2016-11-08;Sopot; Sopot;Lipowa;RYNEK WTÓRNY;950000;76,82;13453;2;BRAK MP;BARDZO DOBRY;lata 40-50 te XX-go wieku
2016-11-08;Sopot; Sopot;Władysława Łokietka;RYNEK WTÓRNY;1150000;92,75;13436;1;BRAK MP;BARDZO DOBRY;2015
2016-11-08;Sopot; Sopot;Władysława Łokietka;RYNEK WTÓRNY;1300000;113,55;12442;1;BRAK MP;BARDZO DOBRY;2015
2016-11-08;Sopot; Sopot;Malczewskiego;RYNEK WTÓRNY;630000;56,75;12289;1;BRAK MP;BARDZO DOBRY;lata 40-50 te XX-go wieku
2016-11-08;Sopot; Sopot;Dworcowa;RYNEK WTÓRNY;1050000;95,15;12066;2;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Sopot; Sopot;Bitwy Pod Płowcami;RYNEK WTÓRNY;650000;65,98;10985;1;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;Śląska;RYNEK WTÓRNY;300000;66,35;5653;4;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;3 Maja;RYNEK WTÓRNY;550000;103,88;6306;4;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;Wójta Radtkego;RYNEK WTÓRNY;565000;106,35;6320;3;BRAK MP;PRZECIĘTNY;lata 40-50-te XX-go wieku
2016-12-23;Gdynia; Orłowo;Al. Zwycięstwa;RYNEK WTÓRNY;485000;93,05;6249;5;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-11-08;Gdynia; Kamienna Góra;I Armii Wojska Polskiego;RYNEK PIERWOTNY;824965;87,24;10508;4;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Mały Kack;Kłajpedzka;RYNEK WTÓRNY;849000;117,45;8216;2;BRAK MP;DOBRY;2010-2015
2016-11-08;Gdynia; Mały Kack;Leśna;RYNEK PIERWOTNY;870531;125,16;7931;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Mały Kack;Parkowa;RYNEK WTÓRNY;660000;96,65;7856;3;BRAK MP;DOBRY;2010-2015
2016-11-08;Gdynia; Mały Kack;Strzelców;RYNEK PIERWOTNY;761045;111,79;7805;4;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Mały Kack;Strzelców;RYNEK WTÓRNY;925000;136,95;7715;4;BRAK MP;DOBRY;2010-2015
2016-11-08;Gdynia; Orłowo;Inżynierska;RYNEK PIERWOTNY;695926;97,65;8152;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Orłowo;Bukowa;RYNEK PIERWOTNY;602778;82,47;8376;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Orłowo;Bernadowska;RYNEK PIERWOTNY;584213;76,52;8722;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Orłowo;Spacerowa;RYNEK PIERWOTNY;1640819;135,73;13051;2;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Sopot; Sopot;Władysława IV;RYNEK WTÓRNY;1000000;101,02;10917;1;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-11-08;Gdynia; Wzgórze Św. Maksymiliana;Gen. Hallera;RYNEK PIERWOTNY;685185;111,91;7119;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Pustki Cisowskie;Modrzewiowa;RYNEK WTÓRNY;725000;121,14;6966;4;BRAK MP;DOBRY;2010
2016-11-08;Gdynia; Grabówek;Komandorska;RYNEK WTÓRNY;415000;63,42;7691;2;MIEJSCE NAZIEMNE;DOBRY;2010
2016-11-08;Gdynia; Kamienna Góra;Bema;RYNEK WTÓRNY;815000;104,93;8777;5;BRAK MP;DOBRY;lata 30-40 te XX-go wieku
2016-11-08;Gdynia; Mały Kack;Olgierda;RYNEK WTÓRNY;750000;116,36;7435;2;BRAK MP;DOBRY;2010-2015
2016-11-08;Gdynia; Mały Kack;Strzelców;RYNEK PIERWOTNY;451487;73,66;7228;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;660824;121,65;6413;1;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;741272;136,12;6407;1;GARAŻ JEDNOSTANOWISKOWY;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Pogórze;Uranowa;RYNEK WTÓRNY;220000;65,05;4520;1;BRAK MP;NISKI;lata 80-te XX-go wieku
2018-02-19;Gdynia; Orłowo;Al. Zwycięstwa;RYNEK WTÓRNY;210000;42,25;6291;1;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2018-03-01;Gdynia; Orłowo;Al. Zwycięstwa;RYNEK WTÓRNY;300000;44,15;8093;1;BRAK MP;DOBRY;lata 90-te XX-go wieku
2016-11-08;Gdynia; Pustki Cisowskie;Modrzewiowa;RYNEK WTÓRNY;440000;78,47;6688;1;BRAK MP;PRZECIĘTNY;2010
2016-11-08;Gdynia; Redłowo;Kopernika;RYNEK WTÓRNY;960000;115,05;9335;4;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;DOBRY;2010
2016-11-08;Gdynia; Redłowo;Korczaka;RYNEK WTÓRNY;605000;98,56;7162;5;BRAK MP;DOBRY;lata 70-80-te XX-go wieku
2016-11-08;Sopot; Sopot;Zacisze;RYNEK WTÓRNY;1325000;136,05;10701;2;BRAK MP;BARDZO DOBRY;lata 30-te XX-go wieku
2016-11-08;Sopot; Sopot;Gen. Józefa Bema;RYNEK WTÓRNY;1330000;137,15;10658;3;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Sopot; Sopot;23 Marca;RYNEK WTÓRNY;700000;76,95;10183;3;MIEJSCE POSTOJOWE W HALI GARAŻOWEJ;BARDZO DOBRY;2010
2016-11-08;Sopot; Sopot;Chmielewskiego;RYNEK WTÓRNY;800000;92,42;9694;4;BRAK MP;BARDZO DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Sopot; Sopot;Gen. Józefa Bema;RYNEK WTÓRNY;860000;106,15;9109;4;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Sopot; Sopot;Sobieskiego;RYNEK WTÓRNY;1000000;127,2;8835;3;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-11-08;Sopot; Sopot;Wybickiego;RYNEK WTÓRNY;880000;112,95;8786;1;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-11-08;Sopot; Sopot;Jagiełły;RYNEK WTÓRNY;1185000;152,25;8728;2;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Sopot; Sopot;Andersa;RYNEK WTÓRNY;820000;107,64;8622;4;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;3 Maja;RYNEK WTÓRNY;463000;76,2;7165;5;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;Waszyngtona;RYNEK WTÓRNY;600000;92,49;7525;4;BRAK MP;DOBRY;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Śródmieście z Portem;Pl. Kaszubski;RYNEK PIERWOTNY;972222;144,49;7681;8;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Śródmieście z Portem;Abrahama;RYNEK WTÓRNY;681944;92,46;8414;2;BRAK MP;DEWELOPERSKI/DO WYKOŃCZENIA;lata 40-50-te XX-go wieku
2016-11-08;Gdynia; Wielki Kack;Gryfa Pomorskiego;RYNEK WTÓRNY;355000;60,85;6996;3;BRAK MP;DOBRY;lata 90-te XX-go wieku
2016-11-08;Gdynia; Witomino;Poprzeczna;RYNEK WTÓRNY;440000;92,85;5776;1;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2017-01-20;Gdynia; Wzgórze Św. Maksymiliana;Batalionów Chłopskich;RYNEK WTÓRNY;750000;72,74;11413;2;GARAŻ JEDNOSTANOWISKOWY;BARDZO DOBRY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Pogórze;Steyera;RYNEK WTÓRNY;295000;78,68;4829;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2018-07-12;Gdynia; Wzgórze Św. Maksymiliana;Partyzantów;RYNEK WTÓRNY;400000;40,73;11161;4;BRAK MP;BARDZO DOBRY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Pogórze;Gen. Kleeberga;RYNEK WTÓRNY;245000;63,76;4988;5;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-11-08;Sopot; Sopot;Władysława IV;RYNEK WTÓRNY;735000;109,83;7692;2;BRAK MP;DOBRY;lata 30-te XX-go wieku
2016-11-08;Gdynia; Cisowa;Kcyńska;RYNEK WTÓRNY;275500;72,69;4893;8;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-11-08;Gdynia; Dąbrowa;Rdestowa;RYNEK WTÓRNY;465000;116,95;4964;4;BRAK MP;PRZECIĘTNY;lata 90-te XX-go wieku
2016-11-08;Gdynia; Działki Leśne;Szczecińska;RYNEK WTÓRNY;270000;58,72;5773;5;BRAK MP;PRZECIĘTNY;lata 50-60-te XX-go wieku
2016-11-08;Gdynia; Grabówek;Beniowskiego;RYNEK WTÓRNY;679000;118,66;6708;2;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Grabówek;Morska;RYNEK WTÓRNY;320000;72,75;5501;4;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Grabówek;Okrzei;RYNEK WTÓRNY;335000;77,65;5398;1;BRAK MP;PRZECIĘTNY;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Grabówek;Morska;RYNEK WTÓRNY;400000;118,86;4350;3;BRAK MP;NISKI;lata 60-70-te XX-go wieku
2016-11-08;Gdynia; Karwiny;Staffa;RYNEK WTÓRNY;339000;65,45;6316;3;BRAK MP;PRZECIĘTNY;lata 70-80-te XX-go wieku
2016-11-08;Gdynia; Mały Kack;Parkowa;RYNEK PIERWOTNY;619446;119,48;6169;1;MIEJSCE NAZIEMNE;DEWELOPERSKI/DO WYKOŃCZENIA;2016-2018
2016-11-08;Gdynia; Obłuże;Płk. Dąbka;RYNEK WTÓRNY;360000;77,65;5720;3;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
2016-11-08;Gdynia; Obłuże;Boisko;RYNEK WTÓRNY;350000;65,85;6449;1;BRAK MP;PRZECIĘTNY;2015
2016-11-08;Gdynia; Obłuże;Bosmańska;RYNEK WTÓRNY;450000;67,35;7808;2;BRAK MP;DOBRY;lata 80-te XX-go wieku
2016-11-08;Gdynia; Pustki Cisowskie;Rydzowa;RYNEK WTÓRNY;295000;63,76;5772;4;BRAK MP;PRZECIĘTNY;lata 80-te XX-go wieku
